,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2023-07-29,Sat,Pro League A,Regular season,Away,W 4–0,Genk,RWD Molenbeek,N,"FW,RW",15,0,0,0,0,2,2,0,0,5,1,0,0,0.1,0.1,0.0,1,0,2,2,100.0,0,5,0,1,1,Match Report
1,2023-08-05,Sat,Pro League A,Regular season,Home,L 0–1,Genk,Eupen,N,FW,30,0,0,0,0,3,0,0,0,14,0,0,0,0.3,0.3,0.1,3,0,6,8,75.0,0,9,1,2,2,Match Report
2,2023-08-13,Sun,Pro League A,Regular season,Away,W 1–0,Genk,Cercle Brugge,N,FW,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,2,0,0,0,Match Report
3,2023-08-20,Sun,Pro League A,Regular season,Home,D 0–0,Genk,Charleroi,Y,FW,58,0,0,0,0,4,1,0,0,25,0,0,0,0.1,0.1,0.2,2,0,7,13,53.8,0,17,3,3,2,Match Report
4,2023-09-03,Sun,Pro League A,Regular season,Home,D 1–1,Genk,Anderlecht,N,RW,9,1,0,0,0,1,1,0,0,10,0,0,0,0.4,0.4,0.0,0,0,3,4,75.0,0,5,0,0,0,Match Report
5,2023-09-16,Sat,Pro League A,Regular season,Away,W 2–0,Genk,Union SG,N,FW,14,0,1,0,0,3,0,0,0,10,0,0,0,0.7,0.7,0.6,3,1,3,5,60.0,1,6,0,0,0,Match Report
6,2023-09-24,Sun,Pro League A,Regular season,Home,D 3–3,Genk,Sint-Truiden,N,"FW,LW",45,1,0,0,0,5,2,0,0,9,0,0,0,0.9,0.9,0.1,1,0,2,2,100.0,0,6,0,0,0,Match Report
7,2023-09-28,Thu,Pro League A,Regular season,Away,D 1–1,Genk,Club Brugge,N,FW,34,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,2,5,40.0,1,5,0,0,0,Match Report
8,2023-10-01,Sun,Pro League A,Regular season,Home,D 3–3,Genk,Westerlo,Y,FW,62,0,1,0,0,3,0,0,0,16,0,0,0,0.4,0.4,0.2,2,1,8,9,88.9,0,12,0,2,1,Match Report
9,2023-10-08,Sun,Pro League A,Regular season,Away,D 1–1,Genk,Gent,N,FW,23,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,7,1,1,1,Match Report
10,2023-10-22,Sun,Pro League A,Regular season,Home,W 4–0,Genk,Mechelen,N,FW,11,0,0,0,0,1,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,0,0,Match Report
11,2023-10-29,Sun,Pro League A,Regular season,Away,W 3–0,Genk,Kortrijk,Y,FW,75,1,0,0,0,2,2,0,0,31,0,2,1,0.4,0.4,0.0,1,0,11,18,61.1,1,19,1,1,1,Match Report
12,2023-11-04,Sat,Pro League A,Regular season,Away,L 2–3,Genk,Antwerp,N,FW,29,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,6,0,2,0,Match Report
13,2023-11-12,Sun,Pro League A,Regular season,Home,W 3–1,Genk,OH Leuven,Y,FW,89,0,0,0,0,5,0,0,0,31,0,0,0,0.5,0.5,0.0,1,1,16,18,88.9,1,26,1,4,1,Match Report
14,2023-11-25,Sat,Pro League A,Regular season,Away,L 0–1,Genk,Standard Liège,N,FW,29,0,0,0,0,1,0,0,0,6,0,0,0,0.4,0.4,0.0,0,0,2,3,66.7,1,4,0,0,0,Match Report
15,2023-12-03,Sun,Pro League A,Regular season,Home,D 2–2,Genk,Gent,N,FW,15,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,1,4,25.0,0,5,0,0,0,Match Report
